time,y,y_dot
2.589999999999999858e+00,1.046828275042196443e+00,2.474647607159369267e-01
2.600000000000000089e+00,1.049288219764006769e+00,2.445242139823825822e-01
2.609999999999999876e+00,1.051718783158316350e+00,2.415885960765773166e-01
2.620000000000000107e+00,1.054120015459670601e+00,2.386581499523915961e-01
2.629999999999999893e+00,1.056491969401348152e+00,2.357331155882650131e-01
2.640000000000000124e+00,1.058834700215359748e+00,2.328137299872052868e-01
2.649999999999999911e+00,1.061148265632449350e+00,2.299002271767892347e-01
2.660000000000000142e+00,1.063432725850274707e+00,2.269928382201726880e-01
2.669999999999999929e+00,1.065688141251369458e+00,2.240917921293260340e-01
2.680000000000000160e+00,1.067914576249773706e+00,2.211973147765277925e-01
2.689999999999999947e+00,1.070112099015470886e+00,2.183096286405082631e-01
2.700000000000000178e+00,1.072280779628296044e+00,2.154289533655606437e-01
2.709999999999999964e+00,1.074420690077935614e+00,2.125555057615421406e-01
2.720000000000000195e+00,1.076531904263928086e+00,2.096894998038729419e-01
2.729999999999999982e+00,1.078614497995663779e+00,2.068311466335372162e-01
2.740000000000000213e+00,1.080668548992384626e+00,2.039806545570821417e-01
2.750000000000000000e+00,1.082694136883184166e+00,2.011382290466188494e-01
2.760000000000000231e+00,1.084691343207007996e+00,1.983040727398214520e-01
2.770000000000000018e+00,1.086660251412652878e+00,1.954783854399280707e-01
2.780000000000000249e+00,1.088600946858768070e+00,1.926613641157397527e-01
2.790000000000000036e+00,1.090513516813853778e+00,1.898532029016215816e-01
2.800000000000000266e+00,1.092398050456262926e+00,1.870540930975016225e-01
2.810000000000000053e+00,1.094254638874199159e+00,1.842642231688718935e-01
2.819999999999999840e+00,1.096083375065718180e+00,1.814837787467875330e-01
2.830000000000000071e+00,1.097884353938728186e+00,1.787129426278671607e-01
2.839999999999999858e+00,1.099657672310987877e+00,1.759518947742932660e-01
2.850000000000000089e+00,1.101403428910108673e+00,1.732008123138112921e-01
2.859999999999999876e+00,1.103121724373553159e+00,1.704598695397307184e-01
2.870000000000000107e+00,1.104812660899206822e+00,1.677292381852403813e-01
2.879999999999999893e+00,1.106476341479853076e+00,1.650090882775358536e-01
2.890000000000000124e+00,1.108112872587462494e+00,1.622995860292226755e-01
2.899999999999999911e+00,1.109722362349232716e+00,1.596008948488295276e-01
2.910000000000000142e+00,1.111304920285402842e+00,1.569131755221576385e-01
2.919999999999999929e+00,1.112860657309254098e+00,1.542365862122817843e-01
2.930000000000000160e+00,1.114389685727109169e+00,1.515712824595492336e-01
2.939999999999999947e+00,1.115892119238332869e+00,1.489174171815807746e-01
2.950000000000000178e+00,1.117368072935331469e+00,1.462751406732697435e-01
2.959999999999999964e+00,1.118817663303553367e+00,1.436446006067829684e-01
2.970000000000000195e+00,1.120241008221488421e+00,1.410259420315598533e-01
2.979999999999999982e+00,1.121638226960668838e+00,1.384193073743132385e-01
2.990000000000000213e+00,1.123009440185668062e+00,1.358248364390285678e-01
3.000000000000000000e+00,1.124354769954101219e+00,1.332426664069647770e-01
3.010000000000000231e+00,1.125674339716626005e+00,1.306729318366533499e-01
3.020000000000000018e+00,1.126968274316941354e+00,1.281157646638992620e-01
3.030000000000000249e+00,1.128236699991788106e+00,1.255712942017800093e-01
3.040000000000000036e+00,1.129479744370948557e+00,1.230396471406466352e-01
3.050000000000000266e+00,1.130697536066603837e+00,1.205209478342121748e-01
3.060000000000000053e+00,1.131890204258616528e+00,1.180153187535782910e-01
3.070000000000000284e+00,1.133057881061363847e+00,1.155228788338614893e-01
3.080000000000000071e+00,1.134200699707204274e+00,1.130437445164514387e-01
3.089999999999999858e+00,1.135318794373066043e+00,1.105780298600391731e-01
3.100000000000000089e+00,1.136412300180446033e+00,1.081258465406174929e-01
3.109999999999999876e+00,1.137481353195410438e+00,1.056873038514812291e-01
3.120000000000000107e+00,1.138526090428594983e+00,1.032625087032264938e-01
3.129999999999999893e+00,1.139546649835203818e+00,1.008515656237515962e-01
3.140000000000000124e+00,1.140543170315011290e+00,9.845457675825609878e-02
3.149999999999999911e+00,1.141515791712359951e+00,9.607164186924176119e-02
3.160000000000000142e+00,1.142464654816162328e+00,9.370285833651162410e-02
3.169999999999999929e+00,1.143389901359899818e+00,9.134832115717084200e-02
3.180000000000000160e+00,1.144291674021623129e+00,8.900812294562596150e-02
3.189999999999999947e+00,1.145170116423951612e+00,8.668235393358558749e-02
3.200000000000000178e+00,1.146025373134075043e+00,8.437110197005970313e-02
3.209999999999999964e+00,1.146857589663750732e+00,8.207445252136039149e-02
3.220000000000000195e+00,1.147666912469306855e+00,7.979248867110105836e-02
3.229999999999999982e+00,1.148453488740605266e+00,7.752529139043673467e-02
3.240000000000000213e+00,1.149217466445394242e+00,7.527293967459235124e-02
3.250000000000000000e+00,1.149958994921604472e+00,7.303550964168722959e-02
3.260000000000000231e+00,1.150678224127604121e+00,7.081307523409799409e-02
3.270000000000000018e+00,1.151375304611582440e+00,6.860570825226873504e-02
3.280000000000000249e+00,1.152050387511548424e+00,6.641347835471021754e-02
3.290000000000000036e+00,1.152703624555332151e+00,6.423645305800072813e-02
3.300000000000000266e+00,1.153335168060583893e+00,6.207469773678523511e-02
3.310000000000000053e+00,1.153945170934774334e+00,5.992827562377619349e-02
3.320000000000000284e+00,1.154533786675195239e+00,5.779724780975275394e-02
3.330000000000000071e+00,1.155101169368957903e+00,5.568167324356157466e-02
3.339999999999999858e+00,1.155647473692994920e+00,5.358160873211607889e-02
3.350000000000000089e+00,1.156172854914058856e+00,5.149710894039681575e-02
3.359999999999999876e+00,1.156677468888723359e+00,4.942822639145168229e-02
3.370000000000000107e+00,1.157161472037190997e+00,4.737501149012574020e-02
3.379999999999999893e+00,1.157625020879927469e+00,4.533751298706797939e-02
3.390000000000000124e+00,1.158068273051982233e+00,4.331577711241014345e-02
3.399999999999999911e+00,1.158491386808898627e+00,4.130984790886281510e-02
3.410000000000000142e+00,1.158894520702101749e+00,3.931976750736295573e-02
3.419999999999999929e+00,1.159277833578898242e+00,3.734557612707462004e-02
3.430000000000000160e+00,1.159641484582476512e+00,3.538731207538824836e-02
3.439999999999999947e+00,1.159985633151906947e+00,3.344501174792137432e-02
3.450000000000000178e+00,1.160310439022140816e+00,3.151870962851791025e-02
3.459999999999999964e+00,1.160616062224011591e+00,2.960843828924886525e-02
3.470000000000000195e+00,1.160902663084234510e+00,2.771422839041163752e-02
3.479999999999999982e+00,1.161170402225406351e+00,2.583610868053070123e-02
3.490000000000000213e+00,1.161419440566005212e+00,2.397410599635694389e-02
3.500000000000000000e+00,1.161649939320391622e+00,2.212824526286830823e-02
3.510000000000000231e+00,1.161862059998806762e+00,2.029854949326915028e-02
3.520000000000000018e+00,1.162055964341302428e+00,1.848503990222225696e-02
3.530000000000000249e+00,1.162231814348021475e+00,1.668773595209594243e-02
3.540000000000000036e+00,1.162389772389002207e+00,1.490665504712795041e-02
3.550000000000000266e+00,1.162530000915546147e+00,1.314181287143168647e-02
3.560000000000000053e+00,1.162652662449977337e+00,1.139322340349127778e-02
3.570000000000000284e+00,1.162757919585642119e+00,9.660898916160946814e-03
3.580000000000000071e+00,1.162845934986910024e+00,7.944849976665621996e-03
3.589999999999999858e+00,1.162916871389172435e+00,6.245085446600406875e-03
3.600000000000000089e+00,1.162970891598843703e+00,4.561612481930829924e-03
3.609999999999999876e+00,1.163008158493360700e+00,2.894436532993021477e-03
3.620000000000000107e+00,1.163028835021183038e+00,1.243561344493243626e-03
3.629999999999999893e+00,1.163033084180462140e+00,-3.910110201569646669e-04
3.640000000000000124e+00,1.163021068875324415e+00,-2.009279990743927536e-03
3.649999999999999911e+00,1.162992952294416016e+00,-3.611246907766050510e-03
3.660000000000000142e+00,1.162948897603886644e+00,-5.196914727684756596e-03
3.669999999999999929e+00,1.162889067857270753e+00,-6.766287926379807235e-03
3.680000000000000160e+00,1.162813625995486211e+00,-8.319372499149855354e-03
3.689999999999999947e+00,1.162722734846834971e+00,-9.856175960711905867e-03
3.700000000000000178e+00,1.162616557127003070e+00,-1.137670734520184433e-02
3.709999999999999964e+00,1.162495255439059960e+00,-1.288097720617391653e-02
3.720000000000000195e+00,1.162358992273459846e+00,-1.436899761660124196e-02
3.729999999999999982e+00,1.162207930008040568e+00,-1.584078216887530033e-02
3.740000000000000213e+00,1.162042230908023388e+00,-1.729634597480645200e-02
3.750000000000000000e+00,1.161862057016285421e+00,-1.873570551417501340e-02
3.760000000000000231e+00,1.161667570324878218e+00,-2.015887881841312360e-02
3.770000000000000018e+00,1.161458932761887386e+00,-2.156588550493080195e-02
3.780000000000000249e+00,1.161236305982489503e+00,-2.295674652820839379e-02
3.790000000000000036e+00,1.160999851368796465e+00,-2.433148417959771909e-02
3.800000000000000266e+00,1.160749730029855042e+00,-2.569012208732256164e-02
3.810000000000000053e+00,1.160486102801646657e+00,-2.703268521647818334e-02
3.820000000000000284e+00,1.160209130247087383e+00,-2.835919986903179604e-02
3.830000000000000071e+00,1.159918972656028835e+00,-2.966969368382210009e-02
3.839999999999999858e+00,1.159615790045256833e+00,-3.096419563655968682e-02
3.850000000000000089e+00,1.159299742158492297e+00,-3.224273603982686504e-02
